"Target.Color","Target.stim","Condition","Outer.Color","C1","C2","C3","C4","C5","C6","Congruency","random"
"Blue","20,0,235","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","congruent",578
"Blue","45,0,210","Low.2","Purple","86,0,169","84,0,171","81,0,174","79,0,176","77,0,178","72,0,183","incongruent",579
"Purple","95,0,160","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",580
"Blue","30,0,225","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","incongruent",581
"Purple","70,0,185","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","incongruent",582
"Purple","85,0,170","High.3","Mixed","51,0,204","42,0,213","34,0,221","26,0,229","17,0,238","1,0,254","mixed",583
"Blue","5,0,250","Low.5","Blue","43,0,212","41,0,214","38,0,217","36,0,219","34,0,221","29,0,226","congruent",584
"Purple","65,0,190","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","incongruent",585
"Blue","10,0,245","Low.2","Purple","86,0,169","84,0,171","81,0,174","79,0,176","77,0,178","72,0,183","incongruent",586
"Blue","20,0,235","Mid.2","Purple","80,0,175","77,0,178","73,0,182","70,0,185","67,0,188","60,0,195","incongruent",587
"Purple","80,0,175","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",588
"Blue","20,0,235","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","incongruent",589
"Purple","85,0,170","Mid.3","Mixed","60,0,195","57,0,198","54,0,201","51,0,204","47,0,208","41,0,214","mixed",590
"Blue","50,0,205","Low.5","Blue","43,0,212","41,0,214","38,0,217","36,0,219","34,0,221","29,0,226","congruent",591
"Blue","10,0,245","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",592
"Purple","80,0,175","Mid.2","Purple","80,0,175","77,0,178","73,0,182","70,0,185","67,0,188","60,0,195","congruent",593
"Purple","80,0,175","Mid.2","Purple","80,0,175","77,0,178","73,0,182","70,0,185","67,0,188","60,0,195","congruent",594
"Blue","45,0,210","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","congruent",595
"Purple","75,0,180","High.1","Mixed","100,0,155","92,0,163","83,0,172","75,0,180","67,0,188","51,0,204","mixed",596
"Purple","55,0,200","Low.4","Mixed","58,0,197","55,0,200","53,0,202","51,0,204","48,0,207","43,0,212","mixed",597
