"Target.Color" "Target.stim" "Condition" "Outer.Color" "C1" "C2" "C3" "C4" "C5" "C6" "Congruency"
"86" "Purple" "80,0,175" "High.2" "Mixed" "75,0,180" "67,0,188" "59,0,196" "51,0,204" "42,0,213" "26,0,229" "mixed"
"87" "Purple" "85,0,170" "High.3" "Mixed" "51,0,204" "42,0,213" "34,0,221" "26,0,229" "17,0,238" "1,0,254" "mixed"
"88" "Purple" "90,0,165" "High.1" "Mixed" "100,0,155" "92,0,163" "83,0,172" "75,0,180" "67,0,188" "51,0,204" "mixed"
"89" "Purple" "95,0,160" "High.2" "Mixed" "75,0,180" "67,0,188" "59,0,196" "51,0,204" "42,0,213" "26,0,229" "mixed"
"90" "Purple" "100,0,155" "High.3" "Mixed" "51,0,204" "42,0,213" "34,0,221" "26,0,229" "17,0,238" "1,0,254" "mixed"
"91" "Purple" "55,0,200" "Low.1" "Purple" "100,0,155" "98,0,157" "95,0,160" "93,0,162" "91,0,164" "86,0,169" "congruent"
"92" "Purple" "60,0,195" "Low.2" "Purple" "86,0,169" "84,0,171" "81,0,174" "79,0,176" "77,0,178" "72,0,183" "congruent"
"93" "Purple" "65,0,190" "Low.3" "Purple" "72,0,183" "70,0,185" "67,0,188" "65,0,190" "63,0,192" "58,0,197" "congruent"
"94" "Purple" "70,0,185" "Low.4" "Mixed" "58,0,197" "55,0,200" "53,0,202" "51,0,204" "48,0,207" "43,0,212" "mixed"
"95" "Purple" "75,0,180" "Low.5" "Blue" "43,0,212" "41,0,214" "38,0,217" "36,0,219" "34,0,221" "29,0,226" "incongruent"
"96" "Purple" "80,0,175" "Low.6" "Blue" "29,0,226" "27,0,228" "24,0,231" "22,0,233" "20,0,235" "15,0,240" "incongruent"
"97" "Purple" "85,0,170" "Low.7" "Blue" "15,0,240" "13,0,242" "10,0,245" "8,0,247" "6,0,249" "1,0,254" "incongruent"
"98" "Purple" "90,0,165" "Low.1" "Purple" "100,0,155" "98,0,157" "95,0,160" "93,0,162" "91,0,164" "86,0,169" "congruent"
"99" "Purple" "95,0,160" "Low.2" "Purple" "86,0,169" "84,0,171" "81,0,174" "79,0,176" "77,0,178" "72,0,183" "congruent"
"100" "Purple" "100,0,155" "Low.3" "Purple" "72,0,183" "70,0,185" "67,0,188" "65,0,190" "63,0,192" "58,0,197" "congruent"
"101" "Purple" "55,0,200" "Low.4" "Mixed" "58,0,197" "55,0,200" "53,0,202" "51,0,204" "48,0,207" "43,0,212" "mixed"
"102" "Purple" "60,0,195" "Low.5" "Blue" "43,0,212" "41,0,214" "38,0,217" "36,0,219" "34,0,221" "29,0,226" "incongruent"
"103" "Purple" "65,0,190" "Low.6" "Blue" "29,0,226" "27,0,228" "24,0,231" "22,0,233" "20,0,235" "15,0,240" "incongruent"
"104" "Purple" "70,0,185" "Low.7" "Blue" "15,0,240" "13,0,242" "10,0,245" "8,0,247" "6,0,249" "1,0,254" "incongruent"
"105" "Purple" "75,0,180" "Mid.1" "Purple" "100,0,155" "97,0,158" "93,0,162" "90,0,165" "87,0,168" "80,0,175" "congruent"
"106" "Purple" "80,0,175" "Mid.2" "Purple" "80,0,175" "77,0,178" "73,0,182" "70,0,185" "67,0,188" "60,0,195" "congruent"
"107" "Purple" "85,0,170" "Mid.3" "Mixed" "60,0,195" "57,0,198" "54,0,201" "51,0,204" "47,0,208" "41,0,214" "mixed"
"108" "Purple" "90,0,165" "Mid.4" "Blue" "41,0,214" "38,0,217" "34,0,221" "31,0,224" "28,0,227" "21,0,234" "incongruent"
"109" "Purple" "95,0,160" "Mid.5" "Blue" "21,0,234" "18,0,237" "14,0,241" "11,0,244" "8,0,247" "1,0,254" "incongruent"
"110" "Purple" "100,0,155" "Mid.1" "Purple" "100,0,155" "97,0,158" "93,0,162" "90,0,165" "87,0,168" "80,0,175" "congruent"
"111" "Purple" "55,0,200" "Mid.2" "Purple" "80,0,175" "77,0,178" "73,0,182" "70,0,185" "67,0,188" "60,0,195" "congruent"
"112" "Purple" "60,0,195" "Mid.3" "Mixed" "60,0,195" "57,0,198" "54,0,201" "51,0,204" "47,0,208" "41,0,214" "mixed"
"113" "Purple" "65,0,190" "Mid.4" "Blue" "41,0,214" "38,0,217" "34,0,221" "31,0,224" "28,0,227" "21,0,234" "incongruent"
"114" "Purple" "70,0,185" "Mid.5" "Blue" "21,0,234" "18,0,237" "14,0,241" "11,0,244" "8,0,247" "1,0,254" "incongruent"
"115" "Purple" "75,0,180" "High.1" "Mixed" "100,0,155" "92,0,163" "83,0,172" "75,0,180" "67,0,188" "51,0,204" "mixed"
"116" "Purple" "80,0,175" "High.2" "Mixed" "75,0,180" "67,0,188" "59,0,196" "51,0,204" "42,0,213" "26,0,229" "mixed"
"117" "Purple" "85,0,170" "High.3" "Mixed" "51,0,204" "42,0,213" "34,0,221" "26,0,229" "17,0,238" "1,0,254" "mixed"
"118" "Purple" "90,0,165" "High.1" "Mixed" "100,0,155" "92,0,163" "83,0,172" "75,0,180" "67,0,188" "51,0,204" "mixed"
"119" "Purple" "95,0,160" "High.2" "Mixed" "75,0,180" "67,0,188" "59,0,196" "51,0,204" "42,0,213" "26,0,229" "mixed"
"120" "Purple" "100,0,155" "High.3" "Mixed" "51,0,204" "42,0,213" "34,0,221" "26,0,229" "17,0,238" "1,0,254" "mixed"
"121" "Purple" "55,0,200" "Low.1" "Purple" "100,0,155" "98,0,157" "95,0,160" "93,0,162" "91,0,164" "86,0,169" "congruent"
"122" "Purple" "60,0,195" "Low.2" "Purple" "86,0,169" "84,0,171" "81,0,174" "79,0,176" "77,0,178" "72,0,183" "congruent"
"123" "Purple" "65,0,190" "Low.3" "Purple" "72,0,183" "70,0,185" "67,0,188" "65,0,190" "63,0,192" "58,0,197" "congruent"
"124" "Purple" "70,0,185" "Low.4" "Mixed" "58,0,197" "55,0,200" "53,0,202" "51,0,204" "48,0,207" "43,0,212" "mixed"
"125" "Purple" "75,0,180" "Low.5" "Blue" "43,0,212" "41,0,214" "38,0,217" "36,0,219" "34,0,221" "29,0,226" "incongruent"
"126" "Purple" "80,0,175" "Low.6" "Blue" "29,0,226" "27,0,228" "24,0,231" "22,0,233" "20,0,235" "15,0,240" "incongruent"
"127" "Purple" "85,0,170" "Low.7" "Blue" "15,0,240" "13,0,242" "10,0,245" "8,0,247" "6,0,249" "1,0,254" "incongruent"
"128" "Purple" "90,0,165" "Low.1" "Purple" "100,0,155" "98,0,157" "95,0,160" "93,0,162" "91,0,164" "86,0,169" "congruent"
"129" "Purple" "95,0,160" "Low.2" "Purple" "86,0,169" "84,0,171" "81,0,174" "79,0,176" "77,0,178" "72,0,183" "congruent"
"130" "Purple" "100,0,155" "Low.3" "Purple" "72,0,183" "70,0,185" "67,0,188" "65,0,190" "63,0,192" "58,0,197" "congruent"
"131" "Purple" "55,0,200" "Low.4" "Mixed" "58,0,197" "55,0,200" "53,0,202" "51,0,204" "48,0,207" "43,0,212" "mixed"
"132" "Purple" "60,0,195" "Low.5" "Blue" "43,0,212" "41,0,214" "38,0,217" "36,0,219" "34,0,221" "29,0,226" "incongruent"
"133" "Purple" "65,0,190" "Low.6" "Blue" "29,0,226" "27,0,228" "24,0,231" "22,0,233" "20,0,235" "15,0,240" "incongruent"
"134" "Purple" "70,0,185" "Low.7" "Blue" "15,0,240" "13,0,242" "10,0,245" "8,0,247" "6,0,249" "1,0,254" "incongruent"
"135" "Purple" "75,0,180" "Mid.1" "Purple" "100,0,155" "97,0,158" "93,0,162" "90,0,165" "87,0,168" "80,0,175" "congruent"
"136" "Purple" "80,0,175" "Mid.2" "Purple" "80,0,175" "77,0,178" "73,0,182" "70,0,185" "67,0,188" "60,0,195" "congruent"
"137" "Purple" "85,0,170" "Mid.3" "Mixed" "60,0,195" "57,0,198" "54,0,201" "51,0,204" "47,0,208" "41,0,214" "mixed"
"138" "Purple" "90,0,165" "Mid.4" "Blue" "41,0,214" "38,0,217" "34,0,221" "31,0,224" "28,0,227" "21,0,234" "incongruent"
"139" "Purple" "95,0,160" "Mid.5" "Blue" "21,0,234" "18,0,237" "14,0,241" "11,0,244" "8,0,247" "1,0,254" "incongruent"
"140" "Purple" "100,0,155" "Mid.1" "Purple" "100,0,155" "97,0,158" "93,0,162" "90,0,165" "87,0,168" "80,0,175" "congruent"
"141" "Purple" "55,0,200" "Mid.2" "Purple" "80,0,175" "77,0,178" "73,0,182" "70,0,185" "67,0,188" "60,0,195" "congruent"
"142" "Purple" "60,0,195" "Mid.3" "Mixed" "60,0,195" "57,0,198" "54,0,201" "51,0,204" "47,0,208" "41,0,214" "mixed"
"143" "Purple" "65,0,190" "Mid.4" "Blue" "41,0,214" "38,0,217" "34,0,221" "31,0,224" "28,0,227" "21,0,234" "incongruent"
"144" "Purple" "70,0,185" "Mid.5" "Blue" "21,0,234" "18,0,237" "14,0,241" "11,0,244" "8,0,247" "1,0,254" "incongruent"
"145" "Purple" "75,0,180" "High.1" "Mixed" "100,0,155" "92,0,163" "83,0,172" "75,0,180" "67,0,188" "51,0,204" "mixed"
"146" "Purple" "80,0,175" "High.2" "Mixed" "75,0,180" "67,0,188" "59,0,196" "51,0,204" "42,0,213" "26,0,229" "mixed"
"147" "Purple" "85,0,170" "High.3" "Mixed" "51,0,204" "42,0,213" "34,0,221" "26,0,229" "17,0,238" "1,0,254" "mixed"
"148" "Purple" "90,0,165" "High.1" "Mixed" "100,0,155" "92,0,163" "83,0,172" "75,0,180" "67,0,188" "51,0,204" "mixed"
"149" "Purple" "95,0,160" "High.2" "Mixed" "75,0,180" "67,0,188" "59,0,196" "51,0,204" "42,0,213" "26,0,229" "mixed"
"150" "Purple" "100,0,155" "High.3" "Mixed" "51,0,204" "42,0,213" "34,0,221" "26,0,229" "17,0,238" "1,0,254" "mixed"
"151" "Purple" "55,0,200" "Low.1" "Purple" "100,0,155" "98,0,157" "95,0,160" "93,0,162" "91,0,164" "86,0,169" "congruent"
"152" "Purple" "60,0,195" "Low.2" "Purple" "86,0,169" "84,0,171" "81,0,174" "79,0,176" "77,0,178" "72,0,183" "congruent"
"153" "Purple" "65,0,190" "Low.3" "Purple" "72,0,183" "70,0,185" "67,0,188" "65,0,190" "63,0,192" "58,0,197" "congruent"
"154" "Purple" "70,0,185" "Low.4" "Mixed" "58,0,197" "55,0,200" "53,0,202" "51,0,204" "48,0,207" "43,0,212" "mixed"
"155" "Purple" "75,0,180" "Low.5" "Blue" "43,0,212" "41,0,214" "38,0,217" "36,0,219" "34,0,221" "29,0,226" "incongruent"
"156" "Purple" "80,0,175" "Low.6" "Blue" "29,0,226" "27,0,228" "24,0,231" "22,0,233" "20,0,235" "15,0,240" "incongruent"
"157" "Purple" "85,0,170" "Low.7" "Blue" "15,0,240" "13,0,242" "10,0,245" "8,0,247" "6,0,249" "1,0,254" "incongruent"
"158" "Purple" "90,0,165" "Low.1" "Purple" "100,0,155" "98,0,157" "95,0,160" "93,0,162" "91,0,164" "86,0,169" "congruent"
"159" "Purple" "95,0,160" "Low.2" "Purple" "86,0,169" "84,0,171" "81,0,174" "79,0,176" "77,0,178" "72,0,183" "congruent"
"160" "Purple" "100,0,155" "Low.3" "Purple" "72,0,183" "70,0,185" "67,0,188" "65,0,190" "63,0,192" "58,0,197" "congruent"
"161" "Purple" "55,0,200" "Low.4" "Mixed" "58,0,197" "55,0,200" "53,0,202" "51,0,204" "48,0,207" "43,0,212" "mixed"
"162" "Purple" "60,0,195" "Low.5" "Blue" "43,0,212" "41,0,214" "38,0,217" "36,0,219" "34,0,221" "29,0,226" "incongruent"
"163" "Purple" "65,0,190" "Low.6" "Blue" "29,0,226" "27,0,228" "24,0,231" "22,0,233" "20,0,235" "15,0,240" "incongruent"
"164" "Purple" "70,0,185" "Low.7" "Blue" "15,0,240" "13,0,242" "10,0,245" "8,0,247" "6,0,249" "1,0,254" "incongruent"
"165" "Purple" "75,0,180" "Mid.1" "Purple" "100,0,155" "97,0,158" "93,0,162" "90,0,165" "87,0,168" "80,0,175" "congruent"
"166" "Purple" "80,0,175" "Mid.2" "Purple" "80,0,175" "77,0,178" "73,0,182" "70,0,185" "67,0,188" "60,0,195" "congruent"
"167" "Purple" "85,0,170" "Mid.3" "Mixed" "60,0,195" "57,0,198" "54,0,201" "51,0,204" "47,0,208" "41,0,214" "mixed"
"168" "Purple" "90,0,165" "Mid.4" "Blue" "41,0,214" "38,0,217" "34,0,221" "31,0,224" "28,0,227" "21,0,234" "incongruent"
"169" "Purple" "95,0,160" "Mid.5" "Blue" "21,0,234" "18,0,237" "14,0,241" "11,0,244" "8,0,247" "1,0,254" "incongruent"
"170" "Purple" "100,0,155" "Mid.1" "Purple" "100,0,155" "97,0,158" "93,0,162" "90,0,165" "87,0,168" "80,0,175" "congruent"
"171" "Purple" "55,0,200" "Mid.2" "Purple" "80,0,175" "77,0,178" "73,0,182" "70,0,185" "67,0,188" "60,0,195" "congruent"
"172" "Purple" "60,0,195" "Mid.3" "Mixed" "60,0,195" "57,0,198" "54,0,201" "51,0,204" "47,0,208" "41,0,214" "mixed"
"173" "Purple" "65,0,190" "Mid.4" "Blue" "41,0,214" "38,0,217" "34,0,221" "31,0,224" "28,0,227" "21,0,234" "incongruent"
"174" "Purple" "70,0,185" "Mid.5" "Blue" "21,0,234" "18,0,237" "14,0,241" "11,0,244" "8,0,247" "1,0,254" "incongruent"
"175" "Purple" "75,0,180" "High.1" "Mixed" "100,0,155" "92,0,163" "83,0,172" "75,0,180" "67,0,188" "51,0,204" "mixed"
"176" "Purple" "80,0,175" "High.2" "Mixed" "75,0,180" "67,0,188" "59,0,196" "51,0,204" "42,0,213" "26,0,229" "mixed"
"177" "Purple" "85,0,170" "High.3" "Mixed" "51,0,204" "42,0,213" "34,0,221" "26,0,229" "17,0,238" "1,0,254" "mixed"
"178" "Purple" "90,0,165" "High.1" "Mixed" "100,0,155" "92,0,163" "83,0,172" "75,0,180" "67,0,188" "51,0,204" "mixed"
"179" "Purple" "95,0,160" "High.2" "Mixed" "75,0,180" "67,0,188" "59,0,196" "51,0,204" "42,0,213" "26,0,229" "mixed"
"180" "Purple" "100,0,155" "High.3" "Mixed" "51,0,204" "42,0,213" "34,0,221" "26,0,229" "17,0,238" "1,0,254" "mixed"
"181" "Purple" "55,0,200" "Low.1" "Purple" "100,0,155" "98,0,157" "95,0,160" "93,0,162" "91,0,164" "86,0,169" "congruent"
"182" "Purple" "60,0,195" "Low.2" "Purple" "86,0,169" "84,0,171" "81,0,174" "79,0,176" "77,0,178" "72,0,183" "congruent"
"183" "Purple" "65,0,190" "Low.3" "Purple" "72,0,183" "70,0,185" "67,0,188" "65,0,190" "63,0,192" "58,0,197" "congruent"
"184" "Purple" "70,0,185" "Low.4" "Mixed" "58,0,197" "55,0,200" "53,0,202" "51,0,204" "48,0,207" "43,0,212" "mixed"
